Date,Instrument,Song,Artist,Genre
3/4/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/4/20,Electric Guitar,Found Out About You,Gin Blossoms,Rock
3/4/20,Bass,Animal I Have Become,Three Days Grace,Rock
3/4/20,Bass,Hysteria,Muse,Rock
3/4/20,Bass,A-punk,Vampire Weekend,Indie
3/4/20,Piano,Tempest Sonata,Beethoven,Classical
3/5/20,Acoustic Guitar,Bloom,The Paper Kites,Folk
3/5/20,Piano,Tempest Sonata,Beethoven,Classical
3/5/20,Piano,Raindrop Prelude,Chopin,Classical
3/5/20,Electric Guitar,Kryptonite,Three Doors Down,Rock
3/5/20,Electric Guitar,Lifeline,Papa Roach,Rock
3/6/20,Acoustic Guitar,Bloom,The Paper Kites,Folk
3/6/20,Acoustic Guitar,Never Mind,Foster the People,Indie
3/6/20,Acoustic Guitar,Hero,Family of the Year,Indie
3/6/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/6/20,Electric Guitar,I Don't Care,Fall Out Boy,Rock
3/6/20,Bass,Animal I Have Become,Three Days Grace,Rock
3/6/20,Bass,I Don't Care,Fall Out Boy,Rock
3/6/20,Piano,Raindrop Prelude,Chopin,Classical
3/7/20,Piano,Raindrop Prelude,Chopin,Classical
3/7/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
3/7/20,Electric Guitar,I Don't Care,Fall Out Boy,Rock
3/8/20,Piano,Raindrop Prelude,Chopin,Classical
3/8/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
3/9/20,Piano,Raindrop Prelude,Chopin,Classical
3/9/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/9/20,Electric Guitar,Ohio is for Lovers,Hawthorne Heights,Rock
3/10/20,Piano,Tempest Sonata,Beethoven,Classical
3/11/20,Piano,Tempest Sonata,Beethoven,Classical
3/11/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/11/20,Electric Guitar,Ohio is for Lovers,Hawthorne Heights,Rock
3/11/20,Electric Guitar,Do I Wanna Know,Arctic Monkeys,Indie
3/11/20,Bass,Miss Murder,AFI,Rock
3/12/20,Piano,Tempest Sonata,Beethoven,Classical
3/12/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/12/20,Electric Guitar,Ohio is for Lovers,Hawthorne Heights,Rock
3/12/20,Electric Guitar,Do I Wanna Know,Arctic Monkeys,Indie
3/12/20,Acoustic Guitar,The Truth is a Cave,The Oh Hello's,Folk
3/13/20,Piano,Tempest Sonata,Beethoven,Classical
3/14/20,Bass,She Wolf,Shakira,Pop
3/14/20,Piano,Tempest Sonata,Beethoven,Classical
3/14/20,Piano,Raindrop Prelude,Chopin,Classical
3/15/20,Acoustic Guitar,26,Caamp,Folk
3/15/20,Electric Guitar,Friday I'm in Love,The Cure,Rock
3/15/20,Piano,Tempest Sonata,Beethoven,Classical
3/16/20,Piano,Tempest Sonata,Beethoven,Classical
3/17/20,Acoustic Guitar,26,Caamp,Folk
3/17/20,Piano,Tempest Sonata,Beethoven,Classical
3/17/20,Electric Guitar,Ohio is for Lovers,Hawthorne Heights,Rock
3/17/20,Electric Guitar,Rock Show,blink-182,Rock
3/17/20,Bass,Rock Show,blink-182,Rock
3/18/20,Acoustic Guitar,A Closeness,Dermot Kennedy,Folk
3/18/20,Acoustic Guitar,26,Caamp,Folk
3/18/20,Piano,Tempest Sonata,Beethoven,Classical
3/18/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
3/19/20,Electric Guitar,Hanging by a Moment,Lifehouse,Rock
3/19/20,Electric Guitar,Decode,Paramore,Rock
3/19/20,Electric Guitar,Animal I Have Become,Three Days Grace,Rock
3/19/20,Piano,Tempest Sonata,Beethoven,Classical
3/19/20,Piano,Raindrop Prelude,Chopin,Classical
3/20/20,Electric Guitar,Hanging by a Moment,Lifehouse,Rock
3/20/20,Electric Guitar,Animal I Have Become,Three Days Grace,Rock
3/20/20,Piano,Raindrop Prelude,Chopin,Classical
3/21/20,Electric Guitar,Misery Business,Paramore,Rock
